Provinsi,Jumlah Penduduk (Ribu),Jumlah Tenaga Kesehatan,Jumlah Fasilitas Kesehatan,Rasio Jenis Kelamin Penduduk,Persentase Penduduk Penerima BPJS Kesehatan,Persentase Rumah Tangga Sanitasi Layak,Persentase Rumah Tangga Sumber Air Minum Layak,Persentase Rumah Tangga Hunian Layak,Laju Pertumbuhan Penduduk per Tahun,Jumlah Penduduk Miskin (Ribu)
Aceh,5626,623,452,"100,9","97,79","82,21","92,06","71,15","1,37","703,33"
Sumatera Utara,"15785,8",1634,827,"100,8","67,91","87,47","93,24","76,89","1,37","1128,06"
Sumatera Barat,"5914,3",1090,363,"101,5","75,12","74,59","87,26","63,7","1,41","312,3"
Riau,"6811,2",1823,323,"104,3","70,49","91,21","92,17","80,22","1,34","475,57"
Jambi,"3768,5",2131,253,"103,2","61,04","85,88","82,46","68,42","1,28","261,25"
Sumatera Selatan,"8928,5",519,443,"103,6","69,38","85,5","86,82","65,74","1,12","898,24"
Bengkulu,2138,2321,207,"104,2","75,32","85,75","70,47","57,97","1,3","250,19"
Lampung,"9522,9",2007,405,"104,1","65,84","87,29","85,13","68,78","1,18","860,13"
Kepulauan Bangka Belitung,"1550,8",2011,93,"105,2","84,1","96,45","83,54","33,13","1,34","74,65"
Kepulauan Riau,"2213,5",2658,135,"103,1","79,65","90,96","94,6","59,03","1,48","114,55"
DKI Jakarta,10678,1346,238,"100,8","91,64","93,98","99,98","37,71","0,23","439,12"
Jawa Barat,50759,501,1542,"102,4","70,26","76,2","95,84","58,46","1,06","3550,71"
Jawa Tengah,"38233,9",446,1250,"100,9","72,57","87,51","95,73","74,74","0,97","3344,82"
DI Yogyakarta,"3781,5",2333,201,"97,8","89,07","96,94","97,33","88,31","0,64","422,79"
Jawa Timur,"42089,3",602,1418,"99,4","72,83","88,26","97,3","76,68","0,73","3804,29"
Banten,"12537,4",2272,389,"103,3","73,85","90,71","96,03","69,14","1,1","760,85"
Bali,"4461,3",1875,202,"100,4","89,12","98,2","98,75","85,73","0,69","160,09"
Nusa Tenggara Barat,"5731,1",970,223,"100,9","69,5","88,29","96,29","71,49","1,58","637,18"
Nusa Tenggara Timur,"5742,6",246,508,100,"74,62","80,8","89,86","62,27","1,6","1031,69"
Kalimantan Barat,5766,1767,311,"105,3","65,5","88,37","84,32","74,26","1,33","322,54"
Kalimantan Tengah,2845,2449,239,"106,5","67,32","83,14","80,58","66,44","1,35","141,75"
Kalimantan Selatan,"4323,3",1010,294,"102,2","74,01","86,8","78,27","63,4","1,26","168,81"
Kalimantan Timur,"4267,6",2316,254,"106,8","82,78","92,57","88,45","76,87","2,67","202,04"
Kalimantan Utara,"749,4",2719,75,"110,4","88,4",86,"91,59","74,86","1,39","42,45"
Sulawesi Utara,"2721,4",3073,263,"104,1","83,16","87,72","94,86","76,84","0,79","172,13"
Sulawesi Tengah,"3156,1",2165,260,"105,1","79,16","79,62","87,55","65,19","1,18","345,38"
Sulawesi Selatan,"9563,1",716,598,"98,8","86,05","94,19","93,25","78,67","1,11","685,14"
Sulawesi Tenggara,"2836,7",971,351,"102,6","81,42","91,96","94,91","80,11","1,65","295,31"
Gorontalo,"1242,2",3096,117,"101,6","87,09","84,7","95,95","75,75","1,24","155,76"
Sulawesi Barat,"1525,3",3523,114,"102,7","86,13","85,98",83,"66,28","1,53","149,88"
Maluku,"1970,6",3513,270,"102,2","63,31","83,09","92,83","69,15","1,35","286,86"
Maluku Utara,"1373,8",3568,173,"105,1","57,69","84,12","90,01","74,49","1,45","74,81"
Papua Barat,"587,6",1969,95,"110,5","71,53","78,55","82,95","59,11","1,68","102,4"
Papua Barat Daya,"636,4",1980,131,"108,5","83,5","79,56","80,64","57,76","1,57","102,41"
Papua,"1073,6",4122,142,"109,4","70,88","76,71","87,7","58,41","1,34","160,25"
Papua Selatan,"549,7",2394,93,"107,7","69,55","65,06","71,28","43,88","1,44","103,92"
Papua Tengah,"1492,3",2392,141,"113,5","40,12","39,73","83,21","30,95","1,49","309,86"
Papua Pegunungan,"1484,9",1735,191,114,"60,21","16,34","32,89","9,53","1,39","308,19"
